Question	Answer	Source
¿A quién debo llamar si tengo un escape de agua?	Si tienes un escape, debes ponerte en contacto con un fontanero o empresa especializada o bien comprobar si tu seguro de hogar cubre este tipo de reparaciones.\n\nTe recordamos que la conservación y la reparación de cualquier avería en las instalaciones interiores es responsabilidad del usuario, como establece el [Reglamento del Servicio Metropolitano del Ciclo Integral del Agua](http://www.aiguesdebarcelona.cat/documents/2950762/0/Reglamento+del+Servicio+Metropolitano+del+Ciclo+Integral+del+Agua.pdf/6135cffb-05be-4d1f-a08c-445e8f03cc37) en el apartado 4 del artículo 31, "Responsabilidad del receptor del servicio".	Editorial
¿A quién debo llamar si no tengo ningún escape de agua pero creo que mi consumo es más elevado de lo habitual?	Para descartar cualquier tipo de escape, te recomendamos que verifiques toda la instalación interior de tu casa y también la situada en la cámara de contadores de agua de la finca (generalmente, en la entrada del edificio). En este caso, a excepción del equipo de medición instalado, el mantenimiento, conservación y reparación del resto de la instalación en caso de avería o escape corresponde al cliente o a la comunidad de propietarios de la finca.\n \n\nSi tienes cualquier duda sobre la forma de revisar un posible escape en tu instalación interior o de la finca, llámanos a nuestro teléfono de averías de Aigües de Barcelona, 900 700 720 (disponible 24h al día, 365 días al año).\n \n\nAsimismo, si has comprobado que no hay ningún escape en la instalación interior o de la finca, pero tu consumo sigue siendo más elevado del habitual, llámanos al teléfono de atención al cliente de Aigües de Barcelona, 900 710 710 (de lunes a viernes, de 8h a 20h) y haremos todo el posible para ayudarte.	Editorial
¿Tengo que adoptar medidas de conservación de las instalaciones interiores del suministro de agua?	SÍ. Es necesario utilizar las instalaciones de forma correcta y adoptar las medidas necesarias para conservarlas adecuadamente, evitando así el retorno a la red de posibles aguas contaminantes. También debes proteger los precintos que garantizan la no manipulación del contador ni de las instalaciones de la acometida, asegurándote de que no se entorpezca el proceso de toma de lecturas.	Editorial
¿A quién debo llamar si mi desagüe o el de la comunidad tiene una avería u obstrucción antes de llegar a la conducción del alcantarillado general de la calle?	Cuando la acometida del alcantarillado está obstruida o averiada, ya sea en la instalación interior o en la canalización del alcantarillado, es responsabilidad de la persona propietaria de la finca o vivienda que la utiliza. Es necesario evacuar las aguas sucias a la red general de vertidos o al alcantarillado municipal. Debes ponerte en contacto con una empresa privada para desatascar las canalizaciones de vertido de residuos.	Editorial
No tengo agua en casa. ¿Qué hago?	En primer lugar, averigua si la falta de agua afecta a todos los puntos de agua de tu casa. Si es así, contacta con algún vecino o vecina para saber si la incidencia es general. Si las viviendas vecinas no están afectadas, comprueba que la llave de paso interior de tu casa esté completamente abierta. A continuación, verifica que el contador o el equipo de medición tenga las dos llaves de paso abiertas (es decir, giradas completamente a la izquierda).\n \n\nRecuerda que para localizar tu contador de agua tienes que entrar con la llave universal en el cuarto de contadores, que generalmente está en el portal o en el vestíbulo de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n \n\nSi después de haber hecho estas comprobaciones sigues sin agua, llámanos a nuestro teléfono de averías 900 700 720 y haremos todo lo posible para ayudarte.	Editorial
Han reparado recientemente una avería de agua en la calle y ahora no tengo presión suficiente en casa. ¿Qué hago?	En ocasiones, mientras se produce un escape o durante su reparación, es posible que la misma presión del agua pueda arrastrar pequeñas partículas de arena de las tuberías generales y también de las particulares de la finca. Por suerte, no se trata de nada grave.\n \n\nEn la mayoría de los casos, transcurridos unos minutos tras la reparación de la avería exterior debería restablecerse la normalidad en el suministro, recuperando la presión habitual.\n \n\nNo obstante, si sigues sin la presión habitual, llámanos a nuestro teléfono de averías 900 700 720 y haremos todo lo posible para ayudarte.	Editorial
No tengo presión de agua en casa. ¿Qué hago?	Comprueba que la llave de paso interior de tu casa esté completamente abierta. Si tienes instalado algún aparato reductor de presión, comprueba que funcione correctamente. A continuación, verifica que el contador o el equipo de medición tenga las dos llaves de paso abiertas (es decir, giradas completamente a la izquierda).\n \n\nRecuerda que para localizar tu contador de agua tienes que entrar con la llave universal en el cuarto de contadores, que generalmente está en el portal o en el vestíbulo de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n \n\nSi después de haber hecho estas comprobaciones sigues sin presión, llámanos a nuestro teléfono de averías 900 700 720 y haremos todo lo posible para ayudarte.	Editorial
No tengo presión en el agua caliente de mi casa. ¿Qué hago?	Recuerda que Aigües de Barcelona sólo te suministra agua corriente a través de la red de distribución general. Es decir, se trata de agua fría. Abre cualquier grifo de casa y comprueba que el agua fría tenga la presión habitual. Si no es así, revisa la llave de paso interior, y que el contador o el equipo de medición tenga las dos llaves de paso abiertas (es decir, giradas completamente a la izquierda).\n \n\nRecuerda que para localizar tu contador de agua tienes que entrar con la llave universal en el cuarto de contadores, que generalmente está en el portal o en el vestíbulo de la finca. En la batería de contadores hay un plano donde podrás encontrar la ubicación de tu contador.\n \n\nSi aun así sigues sin tener presión en el agua caliente, contacta con un fontanero o con tu seguro del hogar para que verifiquen la instalación y el circuito del agua caliente.	Editorial
¿Por qué en ocasiones el agua del grifo huele a cloro?	El agua potable entra en el sistema de distribución con una garantía sanitaria total, y el cloro es la forma de asegurar la calidad a lo largo de toda la red. La desinfección se lleva a cabo con diferentes agentes desinfectantes, y el cloro es posiblemente el que se utiliza más a menudo. El cloro es un desinfectante muy eficaz, empleado para eliminar toda bacteria dañina que pueda hallarse en la fuente y en la captación de agua. Los niveles de cloro utilizados para el agua potable son en dosis mínima y tienen la garantía sanitaria que fija la legislación. Éstos no son en ningún caso lo suficientemente elevados para suponer un riesgo para la salud de las personas.\n 	Editorial
¿Qué hago si el agua del grifo tiene un color, olor y/o sabor muy desagradable?	El gusto y el olor del agua no tienen relación con la potabilidad. Precisamente, son los componentes utilizados para tratar el agua los que puntualmente pueden provocar estos cambios, que no son en ningún caso perjudiciales para la salud.\n \n\nAun así, si deseas mejorar el sabor y el olor del agua, te recomendamos que la viertas en una jarra de cristal sin tapar y que la dejes en reposo durante media hora para que el cloro se evapore. Seguidamente, tapa la jarra y ponla en la nevera, puesto que el frío hace que disminuya el sabor y el olor de cloro. También puedes añadir unas gotas de zumo de limón para mejorar su sabor.\n \n\nNo obstante, si detectas una anomalía importante en el color u olor del agua de tu casa, te recomendamos que te pongas en contacto con nosotros al teléfono de averías 900 700 720.	Editorial
¿Debo instalar en casa un descalcificador o filtros de ósmosis inversa para mejorar la calidad del agua?	El agua del grifo es potable y cumple todos los estándares de calidad establecidos por la legislación, y por lo tanto, no es preciso adquirir ningún dispositivo adicional para tratarla. Además, ten en cuenta que este tipo de dispositivos deben elegirse con cuidado en función de la instalación, y llevar a cabo un control y mantenimiento periódico.	Editorial
¿Qué es la dureza del agua?	El agua adquiere el calcio y el magnesio, que determinan su dureza, al entrar en contacto con los diversos tipos de terrenos por los que circula el río o el acuífero de donde procede. Por tanto, el grado de dureza del agua depende del carácter geológico del suelo que atraviesa desde su origen. Así, un suelo calcáreo genera más contenidos de cal que un suelo granítico.\n \n\nLa dureza del agua del grifo no supone ningún peligro para la salud humana, más bien al contrario: el calcio y el magnesio, que caracterizan la dureza del agua, son esenciales para la salud.	Editorial
¿Cuál es el grado de dureza del agua de mi casa?	Los valores medios en unidades equivalentes sobre la dureza total son 315 mg CaCO3/l = 31,5 °F.	Editorial
¿Cómo puedo pagar mis facturas?	isponemos de 6 canales de pago diferentes para que tengas la máxima flexibilidad a la hora de liquidar tus recibos.\n \n\n*   Domiciliación bancaria\n*   Teléfono de atención al cliente de Aigües de Barcelona900 710 710 (con tarjeta bancaria)\n*   Entidades bancarias colaboradoras\n*   [Oficinas de correos](http://www.correos.es/ss/Satellite/site/pagina-localizador_oficinas/sidioma=es_ES)\n*   ServiCaixa ([Línea Abierta](https://portal.lacaixa.es/pagos/impuestosrecibosmatriculas_es.html))\n*   Oficina en Red	Editorial
¿Cómo puedo domiciliar mis facturas?	Puedes hacerlo a través de nuestra Oficina en Red rellenando tus datos bancarios. También puedes dar la orden de domiciliación en tu entidad bancaria o comunicarnos los datos de tu cuenta bancaria a través de nuestro teléfono de atención al cliente, 900 710 710 (de lunes a viernes, de 08h a 20h).	Editorial
Si no tengo domiciliada la factura, ¿en qué entidades bancarias puedo pagarla?	Puedes hacerlo a través de ServiCaixa, Banco Santander, SabadellAtlántico, Bankia y Banesto.	Editorial
¿Puedo pagar mis facturas directamente por teléfono?	Sí, llamando a nuestro teléfono de atención al cliente 900 710 710 (de lunes a viernes, de 08h a 20h). Recuerda que debes tener a mano una tarjeta de crédito/débito (Visa/Mastercard).	Editorial
¿Puedo pagar mis facturas en las oficinas de Aigües de Barcelona?	No, no es posible realizar pagos en nuestras oficinas.	Editorial
¿Tengo que ser cliente de La Caixa para poder pagar mis facturas a través de ServiCaixa?	No, no es necesario que seas cliente de esta entidad, ni tampoco que seas usuario o usuaria de Línea Abierta de La Caixa.\n\nRecuerda que también podrás realizar el pago a través de nuestras entidades colaboradoras, mediante la Oficina en Red o a través de [La Caixa - Pagos Online](https://portal.lacaixa.es/pagos/impuestosrecibosmatriculas_es.html) con cualquier tarjeta de crédito (Visa/Mastercard) o de débito	Editorial
¿Mi tarjeta bancaria tiene que ser de La Caixa para poder realizar pagos en línea?	No, no es necesario que La Caixa sea la entidad emisora de la tarjeta. Sólo hace falta que tengas una tarjeta de crédito activa (Visa / Mastercard) o de débito.	Editorial
¿Puedo realizar el pago en línea en cualquier momento?	Sí, el servicio está disponible las 24 horas del día y los 365 días del año.	Editorial
¿Qué necesito para hacer pagos en línea?	Es necesario que tengas un ordenador o un dispositivo con conexión a Internet y una tarjeta bancaria activa en el momento de realizar la operación.	Editorial
¿El pago en línea tiene algún coste para mí?	No. Los pagos efectuados en línea no tienen ningún coste adicional.	Editorial
¿Qué ventajas tiene el pago en línea?	Disponibilidad total sin tener que desplazarte, confidencialidad y seguridad con tus datos bancarios.	Editorial
